pair_id,question,error_family,truthful_sample_id,hallucinated_sample_id,truthful_answer,hallucinated_answer,delta_norm,base_id,atlas_pca1,atlas_pca2,atlas_umap1,atlas_umap2,own_family_projection_energy,best_other_projection_energy,projection_margin,proj_causal_substitution,proj_definition_substitution,proj_entity_swap,proj_numeric_distortion,proj_role_inversion
b01_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b01_causal_substitution,hallucinated_b01_causal_substitution,Claim: Mercury is the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,Claim: Mercury is the planet closest to the Sun because it has the brightest clouds. Supporting note: It has the shortest orbital period in the Solar System.,0.321269690990448,b01,0.2400253,0.18846427,6.0932856,9.911728,0.08599236607551575,0.1287083774805069,-0.04271601140499115,0.08599236607551575,0.030509749427437782,0.010710431262850761,0.1051110327243805,0.1287083774805069
b01_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b01_definition_substitution,hallucinated_b01_definition_substitution,Claim: Mercury is the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,Claim: Mercury is the star closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,0.3232700228691101,b01,0.0031001822,0.21382447,5.656126,9.03359,0.04447413235902786,0.1163226068019867,-0.07184847444295883,0.0507219098508358,0.04447413235902786,0.05121159553527832,0.10867566615343094,0.1163226068019867
b01_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b01_entity_swap,hallucinated_b01_entity_swap,Claim: Mercury is the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,Claim: Venus is the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,0.41634464263916016,b01,-0.5101011,0.0899365,4.081405,8.274959,0.2021653652191162,0.10137210786342621,0.10079325735569,0.028559008613228798,0.011608969420194626,0.2021653652191162,0.06144416332244873,0.10137210786342621
b01_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b01_numeric_distortion,hallucinated_b01_numeric_distortion,Claim: Mercury is the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,Claim: Mercury is the second planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,0.34541812539100647,b01,-0.044163857,1.7591404,8.083746,5.406224,0.491398423910141,0.11315092444419861,0.3782474994659424,0.06556085497140884,0.009763623587787151,0.03040953166782856,0.491398423910141,0.11315092444419861
b01_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b01_role_inversion,hallucinated_b01_role_inversion,Claim: Mercury is the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,Claim: The Sun is the object closest to Mercury rather than Mercury being the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,0.4222683608531952,b01,0.26965055,-0.04457035,5.795576,10.376397,0.1206669807434082,0.128693088889122,-0.008026108145713806,0.128693088889122,0.021380530670285225,0.01864771917462349,0.05817306414246559,0.1206669807434082
b02_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b02_causal_substitution,hallucinated_b02_causal_substitution,Claim: The heart is the organ that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,Claim: The heart is the organ that pumps blood through the human body because it stores oxygen like a reservoir. Supporting note: Its contractions drive circulation through the vascular system.,0.25160351395606995,b02,0.52825737,-0.057063133,7.473582,10.399959,0.13048690557479858,0.21986669301986694,-0.08937978744506836,0.13048690557479858,0.034304358065128326,0.04577968642115593,0.07003935426473618,0.21986669301986694
b02_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b02_definition_substitution,hallucinated_b02_definition_substitution,Claim: The heart is the organ that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,Claim: The heart is the gland that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,0.4938713014125824,b02,-0.2193838,-0.09448945,5.6372566,8.174854,0.17142613232135773,0.10128791630268097,0.07013821601867676,0.043327752500772476,0.17142613232135773,0.03592574596405029,0.10128791630268097,0.0802350714802742
b02_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b02_entity_swap,hallucinated_b02_entity_swap,Claim: The heart is the organ that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,Claim: The liver is the organ that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,0.45216426253318787,b02,0.40286452,0.18246634,7.2936773,10.163435,0.041319407522678375,0.21594178676605225,-0.17462237924337387,0.04149630665779114,0.03465483710169792,0.041319407522678375,0.09308962523937225,0.21594178676605225
b02_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b02_numeric_distortion,hallucinated_b02_numeric_distortion,Claim: The heart is the organ that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,Claim: The heart is the organ that pumps blood through the human body's three main chambers. Supporting note: Its contractions drive circulation through the vascular system.,0.42989295721054077,b02,0.06435885,2.2823138,8.774695,5.4426885,0.6609193086624146,0.1764468103647232,0.48447249829769135,0.0684976875782013,0.058963410556316376,0.03177972137928009,0.6609193086624146,0.1764468103647232
b02_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b02_role_inversion,hallucinated_b02_role_inversion,Claim: The heart is the organ that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,Claim: Blood pumps the heart through the human body rather than the heart pumping blood through the body. Supporting note: Its contractions drive circulation through the vascular system.,0.5881960988044739,b02,2.2973778,0.23865022,10.94886,12.068724,0.7140803933143616,0.12093143910169601,0.5931489542126656,0.05949303135275841,0.016853172332048416,0.026517504826188087,0.12093143910169601,0.7140803933143616
b03_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b03_causal_substitution,hallucinated_b03_causal_substitution,Claim: Gold has the chemical symbol Au. Supporting note: The abbreviation comes from the Latin word aurum.,Claim: Gold has the chemical symbol Au because its atoms are heavier than silver. Supporting note: The abbreviation comes from the Latin word aurum.,0.4003487825393677,b03,0.6606791,-0.09819973,7.413133,10.690275,0.11296068131923676,0.2429453730583191,-0.12998469173908234,0.11296068131923676,0.04296226054430008,0.022649943828582764,0.05563829466700554,0.2429453730583191
b03_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b03_definition_substitution,hallucinated_b03_definition_substitution,Claim: Gold has the chemical symbol Au. Supporting note: The abbreviation comes from the Latin word aurum.,Claim: Gold has the chemical formula Au. Supporting note: The abbreviation comes from the Latin word aurum.,0.31042352318763733,b03,0.19764039,-0.0862913,6.349451,8.904296,0.10595297068357468,0.1660093516111374,-0.060056380927562714,0.06618093699216843,0.10595297068357468,0.037360358983278275,0.07609056681394577,0.1660093516111374
