trace_id,prompt_id,task_family,model,difficulty,outcome,trial_id,repeat_index,from_step_position,to_step_position,from_step_text,to_step_text,static_projection_norm,residual_norm,residual_cluster,residual_pc_1,residual_pc_2,residual_pc_3,residual_pc_4,residual_pc_5,residual_pc_6,residual_pc_7,residual_pc_8
trace_00001,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__trial_01,1,0,1,Total number of cans collected = Monday's cans + Tuesday's cans,Total number of cans collected = 14 + 19 = 33,0.16975144,0.9854869,3,-0.015558692,0.028287347,-0.15450373,0.024662863,0.151619,-0.0046529053,-0.055658013,0.023188842
trace_00001,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__trial_01,1,1,2,Total number of cans collected = 14 + 19 = 33,Number of damaged cans = 6,0.18008465,0.9836511,0,0.22655298,0.29823068,-0.30986562,0.11108006,0.031383272,-0.124165066,-0.12068084,0.20500474
trace_00001,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__trial_01,1,2,3,Number of damaged cans = 6,Total number of usable cans = Total number of cans collected - Number of damaged cans,0.11895386,0.99289984,3,-0.07396889,-0.06716494,0.25377843,0.010041204,-0.07988844,0.18128747,0.22302215,-0.3122222
trace_00001,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__trial_01,1,3,4,Total number of usable cans = Total number of cans collected - Number of damaged cans,Total number of usable cans = 33 - 6 = 27,0.14438227,0.98952204,4,-0.08061353,-0.16019057,0.105281964,-0.15697427,0.047734737,-0.092954434,-0.1599813,0.06487563
trace_00002,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__trial_02,2,0,1,Calculate the total number of cans collected.,Subtract the damaged cans from the total to find the remaining usable cans.,0.18063834,0.98354954,0,0.41846323,0.2528361,-0.27966604,0.059892908,-0.008917553,-0.006002358,-0.08922107,0.11052218
trace_00002,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__trial_02,2,1,2,Subtract the damaged cans from the total to find the remaining usable cans.,Total cans = 14 (Monday) + 19 (Tuesday) = 33,0.07019205,0.99753344,4,-0.35257977,-0.34236154,0.4086952,-0.16674791,-0.11544901,-0.085704915,-0.12084145,-0.06536163
trace_00002,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__trial_02,2,2,3,Total cans = 14 (Monday) + 19 (Tuesday) = 33,Damaged cans = 6,0.19705759,0.9803919,0,0.30038816,0.3391252,-0.3838501,0.21284632,0.14589582,-0.050814737,-0.06451322,0.2188884
trace_00002,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__trial_02,2,3,4,Damaged cans = 6,Usable cans = Total cans - Damaged cans = 33 - 6 = 27,0.30188406,0.95334464,3,-0.073091656,-0.069414176,0.3101714,-0.09493461,-0.059003204,0.07179011,0.08012998,-0.37124062
trace_00003,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__trial_03,3,0,1,Calculate total number of cans collected: 14 + 19 = 33,Subtract the damaged cans from total: 33 - 6 = 27,0.17379043,0.9847827,0,0.42469114,0.34694558,-0.37040994,0.03337206,0.0081040235,-0.032592032,-0.29122248,0.14446606
trace_00003,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__trial_03,3,1,2,Subtract the damaged cans from total: 33 - 6 = 27,The remaining cans are usable.,0.29905125,0.9542371,3,-0.15854014,-0.18651655,0.28659025,0.13212213,-0.0470415,0.014698049,0.4542566,-0.13055636
trace_00004,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__trial_04,4,0,1,Add the total number of cans collected: 14 (Monday) + 19 (Tuesday) = 33,Subtract the number of damaged cans that were discarded: 33 - 6 = 27,0.113496415,0.99353844,0,0.39110875,0.41400677,-0.45134437,0.06482619,0.11395092,0.004809954,-0.09009529,0.08978473
