pair_id,question,error_family,truthful_sample_id,hallucinated_sample_id,truthful_answer,hallucinated_answer,delta_norm,base_id,raw_umap_pc1,raw_umap_pc2
b01_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b01_causal_substitution,hallucinated_b01_causal_substitution,"In this case, mercury is the planet closest to the Sun. It has the shortest orbital period in the Solar System.","In this case, mercury is the planet closest to the Sun because it has the brightest clouds. It has the shortest orbital period in the Solar System.",0.4367680847644806,b01,2.526468,12.329331
b01_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b01_definition_substitution,hallucinated_b01_definition_substitution,A concise response would be that mercury is the planet closest to the Sun. It has the shortest orbital period in the Solar System.,A concise response would be that mercury is the star closest to the Sun. It has the shortest orbital period in the Solar System.,0.272483766078949,b01,3.8513227,11.308895
b01_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b01_entity_swap,hallucinated_b01_entity_swap,Mercury is the planet closest to the Sun. It has the shortest orbital period in the Solar System.,Venus is the planet closest to the Sun. It has the shortest orbital period in the Solar System.,0.6653795838356018,b01,4.019313,12.478237
b01_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b01_numeric_distortion,hallucinated_b01_numeric_distortion,The short answer is: Mercury is the planet closest to the Sun. It has the shortest orbital period in the Solar System.,The short answer is: Mercury is the second planet closest to the Sun. It has the shortest orbital period in the Solar System.,0.1962934136390686,b01,5.8104024,11.150653
b01_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b01_role_inversion,hallucinated_b01_role_inversion,The relevant fact is that mercury is the planet closest to the Sun. It has the shortest orbital period in the Solar System.,The relevant fact is that the Sun is the object closest to Mercury rather than Mercury being the planet closest to the Sun. It has the shortest orbital period in the Solar System.,0.2507108747959137,b01,3.4375153,10.700891
b02_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b02_causal_substitution,hallucinated_b02_causal_substitution,The relevant fact is that the heart is the organ that pumps blood through the human body. Its contractions drive circulation through the vascular system.,The relevant fact is that the heart is the organ that pumps blood through the human body because it stores oxygen like a reservoir. Its contractions drive circulation through the vascular system.,0.25112250447273254,b02,4.347324,10.388051
b02_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b02_definition_substitution,hallucinated_b02_definition_substitution,"In this case, the heart is the organ that pumps blood through the human body. Its contractions drive circulation through the vascular system.","In this case, the heart is the gland that pumps blood through the human body. Its contractions drive circulation through the vascular system.",0.24104857444763184,b02,4.552317,10.819876
b02_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b02_entity_swap,hallucinated_b02_entity_swap,The short answer is: The heart is the organ that pumps blood through the human body. Its contractions drive circulation through the vascular system.,The short answer is: The liver is the organ that pumps blood through the human body. Its contractions drive circulation through the vascular system.,0.6170546412467957,b02,4.986172,10.792277
b02_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b02_numeric_distortion,hallucinated_b02_numeric_distortion,A concise response would be that the heart is the organ that pumps blood through the human body. Its contractions drive circulation through the vascular system.,A concise response would be that the heart is the organ that pumps blood through the human body's three main chambers. Its contractions drive circulation through the vascular system.,0.348931223154068,b02,5.7952776,10.587132
b02_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b02_role_inversion,hallucinated_b02_role_inversion,The heart is the organ that pumps blood through the human body. Its contractions drive circulation through the vascular system.,Blood pumps the heart through the human body rather than the heart pumping blood through the body. Its contractions drive circulation through the vascular system.,0.5706138014793396,b02,4.4026847,10.578354
