pair_id,question,error_family,truthful_sample_id,hallucinated_sample_id,truthful_answer,hallucinated_answer,delta_norm,base_id,raw_pc1,raw_pc2,raw_pc3
b01_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b01_causal_substitution,hallucinated_b01_causal_substitution,Claim: Mercury is the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,Claim: Mercury is the planet closest to the Sun because it has the brightest clouds. Supporting note: It has the shortest orbital period in the Solar System.,0.321269690990448,b01,-0.04812492,-0.087612785,-0.000110994435
b01_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b01_definition_substitution,hallucinated_b01_definition_substitution,Claim: Mercury is the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,Claim: Mercury is the star closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,0.3232700228691101,b01,-0.036557395,0.004269999,-0.012422029
b01_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b01_entity_swap,hallucinated_b01_entity_swap,Claim: Mercury is the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,Claim: Venus is the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,0.41634464263916016,b01,-0.033347752,-0.0516968,-0.029308971
b01_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b01_numeric_distortion,hallucinated_b01_numeric_distortion,Claim: Mercury is the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,Claim: Mercury is the second planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,0.34541812539100647,b01,-0.081156194,0.012986863,0.048150152
b01_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b01_role_inversion,hallucinated_b01_role_inversion,Claim: Mercury is the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,Claim: The Sun is the object closest to Mercury rather than Mercury being the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,0.4222683608531952,b01,0.18940715,-0.02497106,0.021937545
b02_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b02_causal_substitution,hallucinated_b02_causal_substitution,Claim: The heart is the organ that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,Claim: The heart is the organ that pumps blood through the human body because it stores oxygen like a reservoir. Supporting note: Its contractions drive circulation through the vascular system.,0.25160351395606995,b02,-0.04548128,-0.071475536,0.0374647
b02_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b02_definition_substitution,hallucinated_b02_definition_substitution,Claim: The heart is the organ that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,Claim: The heart is the gland that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,0.4938713014125824,b02,-0.04117348,0.08271664,-0.0042193327
b02_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b02_entity_swap,hallucinated_b02_entity_swap,Claim: The heart is the organ that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,Claim: The liver is the organ that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,0.45216426253318787,b02,-0.075065605,0.026864197,-0.068425804
b02_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b02_numeric_distortion,hallucinated_b02_numeric_distortion,Claim: The heart is the organ that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,Claim: The heart is the organ that pumps blood through the human body's three main chambers. Supporting note: Its contractions drive circulation through the vascular system.,0.42989295721054077,b02,-0.09751665,0.06624395,0.043336254
b02_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b02_role_inversion,hallucinated_b02_role_inversion,Claim: The heart is the organ that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,Claim: Blood pumps the heart through the human body rather than the heart pumping blood through the body. Supporting note: Its contractions drive circulation through the vascular system.,0.5881960988044739,b02,0.26140335,0.0053559896,0.0029757654
