trace_id,prompt_id,task_family,model,difficulty,outcome,from_step_position,to_step_position,from_step_text,to_step_text,static_projection_norm,residual_norm,residual_cluster,residual_pc_1,residual_pc_2,residual_pc_3,residual_pc_4,residual_pc_5,residual_pc_6,residual_pc_7,residual_pc_8
trace_00001,arith_001,arithmetic,llama3.2:latest,easy,correct,0,1,Calculate total number of cans collected: 14 (Monday) + 19 (Tuesday) = 33,Subtract the number of damaged cans: 33 - 6 = 27,0.15893152,0.98728955,0,-0.062810116,0.19615057,0.16523294,0.082795426,-0.17215821,0.3233766,0.09473803,-0.08318284
trace_00001,arith_001,arithmetic,llama3.2:latest,easy,correct,1,2,Subtract the number of damaged cans: 33 - 6 = 27,The remaining cans are usable.,0.3499977,0.93675065,1,0.0663852,-0.08257698,-0.0816468,-0.043726478,0.07353366,-0.18740712,-0.11454343,0.17561732
trace_00002,logic_001,symbolic_logic,llama3.2:latest,easy,incorrect,0,1,We know that all glims are bloops (all A implies all B).,Some bloops are razs (some B implies some C).,0.12296615,0.99241084,0,-0.009328015,-0.11548964,0.09806428,0.14331089,-0.0035399059,0.06836895,-0.032522537,-0.02824882
trace_00002,logic_001,symbolic_logic,llama3.2:latest,easy,incorrect,1,2,Some bloops are razs (some B implies some C).,"However, the conclusion ""some glims are razs"" requires a specific instance of a gloim being a raz.",0.20067964,0.97965693,1,0.037350927,0.08322929,-0.1624548,-0.2298199,-0.0593179,-0.18780655,0.14306264,-0.029717661
trace_00002,logic_001,symbolic_logic,llama3.2:latest,easy,incorrect,2,3,"However, the conclusion ""some glims are razs"" requires a specific instance of a gloim being a raz.",The given information does not provide any direct connection between glims and razs.,0.16237782,0.98672867,0,0.04047907,0.27679592,0.032352947,-0.2245855,-0.3285222,0.0033481903,0.051985774,-0.064221926
trace_00002,logic_001,symbolic_logic,llama3.2:latest,easy,incorrect,3,4,The given information does not provide any direct connection between glims and razs.,"We can only conclude that if there is at least one bloop that is also a raz, then some glims could be razs (but we cannot guarantee this).",0.11854357,0.9929489,1,-0.04708558,-0.25987008,0.07654947,0.2754506,0.3367796,0.092868105,-0.0726629,0.10399976
trace_00002,logic_001,symbolic_logic,llama3.2:latest,easy,incorrect,4,5,"We can only conclude that if there is at least one bloop that is also a raz, then some glims could be razs (but we cannot guarantee this).","Therefore, we cannot definitively conclude that some glims are razs based on the given information.",0.09913379,0.9950741,0,-0.021030199,0.1576184,0.00071947894,-0.14040501,-0.24697931,-0.062067878,0.23367086,-0.2165554
trace_00003,temporal_001,temporal_ordering,llama3.2:latest,easy,correct,0,1,Determine who arrived before whom:,- Mina arrived before Joon.,0.18775745,0.98221534,2,0.056125447,0.1602666,-0.032344855,0.009462505,-0.0050409865,0.013112133,-0.16192232,0.14140135
trace_00003,temporal_001,temporal_ordering,llama3.2:latest,easy,correct,1,2,- Mina arrived before Joon.,- Joon arrived after Sora.,0.10156733,0.99482864,0,-0.06680138,-0.011353264,0.06224248,0.04318322,0.1155159,0.102969445,0.002038107,-0.014002386
trace_00003,temporal_001,temporal_ordering,llama3.2:latest,easy,correct,2,3,- Joon arrived after Sora.,Analyze the relationships:,0.19727615,0.98034793,0,-0.009280606,-0.13058642,0.2006495,0.15465279,-0.0190172,-0.035055287,0.28786612,-0.037014782
