pair_id,question,error_family,truthful_sample_id,hallucinated_sample_id,truthful_answer,hallucinated_answer,delta_norm,base_id,raw_pc1,raw_pc2,raw_pc3
b01_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b01_causal_substitution,hallucinated_b01_causal_substitution,"In this case, mercury is the planet closest to the Sun. It has the shortest orbital period in the Solar System.","In this case, mercury is the planet closest to the Sun because it has the brightest clouds. It has the shortest orbital period in the Solar System.",0.4367680847644806,b01,0.023754358,-0.06676966,0.017944809
b01_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b01_definition_substitution,hallucinated_b01_definition_substitution,A concise response would be that mercury is the planet closest to the Sun. It has the shortest orbital period in the Solar System.,A concise response would be that mercury is the star closest to the Sun. It has the shortest orbital period in the Solar System.,0.272483766078949,b01,0.042136725,-0.0017918949,0.004035037
b01_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b01_entity_swap,hallucinated_b01_entity_swap,Mercury is the planet closest to the Sun. It has the shortest orbital period in the Solar System.,Venus is the planet closest to the Sun. It has the shortest orbital period in the Solar System.,0.6653795838356018,b01,-0.077199504,0.016207611,0.13554269
b01_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b01_numeric_distortion,hallucinated_b01_numeric_distortion,The short answer is: Mercury is the planet closest to the Sun. It has the shortest orbital period in the Solar System.,The short answer is: Mercury is the second planet closest to the Sun. It has the shortest orbital period in the Solar System.,0.1962934136390686,b01,0.034399144,0.010372689,0.035219934
b01_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b01_role_inversion,hallucinated_b01_role_inversion,The relevant fact is that mercury is the planet closest to the Sun. It has the shortest orbital period in the Solar System.,The relevant fact is that the Sun is the object closest to Mercury rather than Mercury being the planet closest to the Sun. It has the shortest orbital period in the Solar System.,0.2507108747959137,b01,0.030697342,-0.012820734,0.008628885
b02_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b02_causal_substitution,hallucinated_b02_causal_substitution,The relevant fact is that the heart is the organ that pumps blood through the human body. Its contractions drive circulation through the vascular system.,The relevant fact is that the heart is the organ that pumps blood through the human body because it stores oxygen like a reservoir. Its contractions drive circulation through the vascular system.,0.25112250447273254,b02,0.05500644,-0.0034911686,0.01107561
b02_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b02_definition_substitution,hallucinated_b02_definition_substitution,"In this case, the heart is the organ that pumps blood through the human body. Its contractions drive circulation through the vascular system.","In this case, the heart is the gland that pumps blood through the human body. Its contractions drive circulation through the vascular system.",0.24104857444763184,b02,0.04462495,0.029002558,0.0044917082
b02_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b02_entity_swap,hallucinated_b02_entity_swap,The short answer is: The heart is the organ that pumps blood through the human body. Its contractions drive circulation through the vascular system.,The short answer is: The liver is the organ that pumps blood through the human body. Its contractions drive circulation through the vascular system.,0.6170546412467957,b02,-0.016756833,0.039540324,-0.010809294
b02_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b02_numeric_distortion,hallucinated_b02_numeric_distortion,A concise response would be that the heart is the organ that pumps blood through the human body. Its contractions drive circulation through the vascular system.,A concise response would be that the heart is the organ that pumps blood through the human body's three main chambers. Its contractions drive circulation through the vascular system.,0.348931223154068,b02,0.06946944,0.03591666,0.006639515
b02_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b02_role_inversion,hallucinated_b02_role_inversion,The heart is the organ that pumps blood through the human body. Its contractions drive circulation through the vascular system.,Blood pumps the heart through the human body rather than the heart pumping blood through the body. Its contractions drive circulation through the vascular system.,0.5706138014793396,b02,-0.09264597,-0.064766355,-0.037840944
b03_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b03_causal_substitution,hallucinated_b03_causal_substitution,Gold has the chemical symbol Au. The abbreviation comes from the Latin word aurum.,Gold has the chemical symbol Au because its atoms are heavier than silver. The abbreviation comes from the Latin word aurum.,0.32590630650520325,b03,0.022423862,-0.07846183,-0.0023566778
b03_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b03_definition_substitution,hallucinated_b03_definition_substitution,The relevant fact is that gold has the chemical symbol Au. The abbreviation comes from the Latin word aurum.,The relevant fact is that gold has the chemical formula Au. The abbreviation comes from the Latin word aurum.,0.16634944081306458,b03,0.032485563,-0.018098028,0.0036397632
b03_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b03_entity_swap,hallucinated_b03_entity_swap,A concise response would be that gold has the chemical symbol Au. The abbreviation comes from the Latin word aurum.,A concise response would be that gold has the chemical symbol Ag. The abbreviation comes from the Latin word aurum.,0.23089714348316193,b03,0.014680781,-0.015149737,0.008266038
b03_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b03_numeric_distortion,hallucinated_b03_numeric_distortion,"In this case, gold has the chemical symbol Au. The abbreviation comes from the Latin word aurum.","In this case, gold has the chemical symbol Au2. The abbreviation comes from the Latin word aurum.",0.20023629069328308,b03,0.034181915,0.00131563,0.046448417
b03_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b03_role_inversion,hallucinated_b03_role_inversion,The short answer is: Gold has the chemical symbol Au. The abbreviation comes from the Latin word aurum.,The short answer is: Au has the chemical symbol gold rather than gold having the chemical symbol Au. The abbreviation comes from the Latin word aurum.,0.4180067479610443,b03,-0.030645909,-0.07187839,-0.061091635
b04_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b04_causal_substitution,hallucinated_b04_causal_substitution,The short answer is: Lisbon is the capital of Portugal. It lies on the western side of the Iberian Peninsula.,The short answer is: Lisbon is the capital of Portugal because it is the country's tallest mountain. It lies on the western side of the Iberian Peninsula.,0.47882431745529175,b04,0.102488965,-0.12209798,-0.017323943
b04_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b04_definition_substitution,hallucinated_b04_definition_substitution,Lisbon is the capital of Portugal. It lies on the western side of the Iberian Peninsula.,Lisbon is the largest province of Portugal. It lies on the western side of the Iberian Peninsula.,0.44084659218788147,b04,0.06614831,0.04012324,0.08082118
b04_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b04_entity_swap,hallucinated_b04_entity_swap,"In this case, lisbon is the capital of Portugal. It lies on the western side of the Iberian Peninsula.","In this case, madrid is the capital of Portugal. It lies on the western side of the Iberian Peninsula.",0.5697066187858582,b04,0.07081025,-0.022009771,-0.021557575
b04_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b04_numeric_distortion,hallucinated_b04_numeric_distortion,The relevant fact is that lisbon is the capital of Portugal. It lies on the western side of the Iberian Peninsula.,The relevant fact is that lisbon is one of the two capitals of Portugal. It lies on the western side of the Iberian Peninsula.,0.199143186211586,b04,0.05522206,-0.005872016,0.060006656
b04_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b04_role_inversion,hallucinated_b04_role_inversion,A concise response would be that lisbon is the capital of Portugal. It lies on the western side of the Iberian Peninsula.,A concise response would be that portugal is the capital of Lisbon rather than Lisbon being the capital of Portugal. It lies on the western side of the Iberian Peninsula.,0.4401920735836029,b04,0.014624973,-0.08846975,-0.071869664
b05_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b05_causal_substitution,hallucinated_b05_causal_substitution,A concise response would be that day and night alternate because Earth rotates on its axis. The cycle repeats over roughly twenty-four hours.,A concise response would be that day and night alternate because the Moon covers different parts of the sky on a schedule. The cycle repeats over roughly twenty-four hours.,0.43010300397872925,b05,0.0009866972,0.07176307,0.0565366
b05_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b05_definition_substitution,hallucinated_b05_definition_substitution,The short answer is: Day and night alternate because Earth rotates on its axis. The cycle repeats over roughly twenty-four hours.,The short answer is: Day and night alternate because Earth revolves on its axis. The cycle repeats over roughly twenty-four hours.,0.06505557894706726,b05,0.0231342,0.0005485489,0.01821207
b05_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b05_entity_swap,hallucinated_b05_entity_swap,The relevant fact is that day and night alternate because Earth rotates on its axis. The cycle repeats over roughly twenty-four hours.,The relevant fact is that day and night alternate because Mars rotates on its axis. The cycle repeats over roughly twenty-four hours.,0.6341157555580139,b05,-0.070023976,0.22789645,0.0642056
b05_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b05_numeric_distortion,hallucinated_b05_numeric_distortion,Day and night alternate because Earth rotates on its axis. The cycle repeats over roughly twenty-four hours.,Day and night alternate because Earth rotates on its axis every twelve hours. The cycle repeats over roughly twenty-four hours.,0.11890648305416107,b05,0.025311993,0.0022156183,0.008686531
b05_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b05_role_inversion,hallucinated_b05_role_inversion,"In this case, day and night alternate because Earth rotates on its axis. The cycle repeats over roughly twenty-four hours.","In this case, earth rotates because day and night alternate rather than day and night alternating because Earth rotates. The cycle repeats over roughly twenty-four hours.",0.46141597628593445,b05,0.015153855,-0.053769153,-0.014053127
b06_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b06_causal_substitution,hallucinated_b06_causal_substitution,"In this case, jane Austen wrote Pride and Prejudice. The novel is a standard work in English literature courses.","In this case, jane Austen wrote Pride and Prejudice because the title was assigned to her by a royal court. The novel is a standard work in English literature courses.",0.5659603476524353,b06,0.056024086,-0.03308045,0.024725176
b06_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b06_definition_substitution,hallucinated_b06_definition_substitution,A concise response would be that jane Austen wrote Pride and Prejudice. The novel is a standard work in English literature courses.,A concise response would be that jane Austen translated Pride and Prejudice. The novel is a standard work in English literature courses.,0.5837376713752747,b06,0.043926354,0.090429775,0.03706408
b06_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b06_entity_swap,hallucinated_b06_entity_swap,Jane Austen wrote Pride and Prejudice. The novel is a standard work in English literature courses.,Charlotte Bronte wrote Pride and Prejudice. The novel is a standard work in English literature courses.,0.34795254468917847,b06,0.0759417,0.021638947,0.031556
b06_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b06_numeric_distortion,hallucinated_b06_numeric_distortion,The short answer is: Jane Austen wrote Pride and Prejudice. The novel is a standard work in English literature courses.,The short answer is: Jane Austen wrote the three-volume poem Pride and Prejudice. The novel is a standard work in English literature courses.,0.40334513783454895,b06,0.056167252,0.02959247,0.045388278
b06_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b06_role_inversion,hallucinated_b06_role_inversion,The relevant fact is that jane Austen wrote Pride and Prejudice. The novel is a standard work in English literature courses.,The relevant fact is that pride and Prejudice wrote Jane Austen rather than Jane Austen writing Pride and Prejudice. The novel is a standard work in English literature courses.,0.5817158222198486,b06,0.03837713,-0.029751463,0.06060994
b07_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b07_causal_substitution,hallucinated_b07_causal_substitution,The relevant fact is that the mantle is the layer directly beneath Earth's crust. It is made largely of hot rock over geological timescales.,The relevant fact is that the mantle is the layer directly beneath Earth's crust because sunlight pushes it downward. It is made largely of hot rock over geological timescales.,0.21184031665325165,b07,0.039571874,-0.024742443,0.008105656
b07_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b07_definition_substitution,hallucinated_b07_definition_substitution,"In this case, the mantle is the layer directly beneath Earth's crust. It is made largely of hot rock over geological timescales.","In this case, the mantle is the atmosphere directly beneath Earth's crust. It is made largely of hot rock over geological timescales.",0.25003859400749207,b07,0.0103271045,-0.0065279156,0.01708197
b07_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b07_entity_swap,hallucinated_b07_entity_swap,The short answer is: The mantle is the layer directly beneath Earth's crust. It is made largely of hot rock over geological timescales.,The short answer is: The core is the layer directly beneath Earth's crust. It is made largely of hot rock over geological timescales.,0.766431987285614,b07,0.18910098,-0.3907164,-0.07652812
b07_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b07_numeric_distortion,hallucinated_b07_numeric_distortion,A concise response would be that the mantle is the layer directly beneath Earth's crust. It is made largely of hot rock over geological timescales.,A concise response would be that the mantle is the second layer directly beneath Earth's crust. It is made largely of hot rock over geological timescales.,0.29520365595817566,b07,0.038430285,-0.047871053,0.026212227
b07_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b07_role_inversion,hallucinated_b07_role_inversion,The mantle is the layer directly beneath Earth's crust. It is made largely of hot rock over geological timescales.,Earth's crust is the layer directly beneath the mantle rather than the mantle being directly beneath the crust. It is made largely of hot rock over geological timescales.,0.5415797233581543,b07,0.073885344,-0.24997257,0.008220985
b08_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b08_causal_substitution,hallucinated_b08_causal_substitution,A thermometer measures body temperature. Clinicians use it when checking for fever.,A thermometer measures body temperature because it listens to the heartbeat. Clinicians use it when checking for fever.,0.23837433755397797,b08,0.044709206,-0.02155301,0.013484571
b08_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b08_definition_substitution,hallucinated_b08_definition_substitution,The relevant fact is that a thermometer measures body temperature. Clinicians use it when checking for fever.,The relevant fact is that a thermometer is a treatment for body temperature. Clinicians use it when checking for fever.,0.21981076896190643,b08,0.001857405,-0.012458371,0.034184527
b08_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b08_entity_swap,hallucinated_b08_entity_swap,A concise response would be that a thermometer measures body temperature. Clinicians use it when checking for fever.,A concise response would be that a stethoscope measures body temperature. Clinicians use it when checking for fever.,0.48726582527160645,b08,-0.0027773941,0.12774223,0.036986962
b08_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b08_numeric_distortion,hallucinated_b08_numeric_distortion,"In this case, a thermometer measures body temperature. Clinicians use it when checking for fever.","In this case, a thermometer measures the body's ten-point temperature scale. Clinicians use it when checking for fever.",0.3410540521144867,b08,-0.005023159,0.015333317,-0.018064486
b08_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b08_role_inversion,hallucinated_b08_role_inversion,The short answer is: A thermometer measures body temperature. Clinicians use it when checking for fever.,The short answer is: Body temperature measures a thermometer rather than a thermometer measuring body temperature. Clinicians use it when checking for fever.,0.5735263824462891,b08,-0.06783372,-0.05720075,-0.048682954
b09_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b09_causal_substitution,hallucinated_b09_causal_substitution,The short answer is: The Bill of Rights contains ten amendments. These amendments protect a set of foundational civil liberties.,The short answer is: The Bill of Rights contains ten amendments because the Supreme Court rewrites them daily. These amendments protect a set of foundational civil liberties.,0.40534284710884094,b09,0.00015499501,-0.049554553,-0.0604363
b09_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b09_definition_substitution,hallucinated_b09_definition_substitution,The Bill of Rights contains ten amendments. These amendments protect a set of foundational civil liberties.,The Bill of Rights contains ten court rulings. These amendments protect a set of foundational civil liberties.,0.34333786368370056,b09,-0.031255923,0.0034142656,0.02076486
b09_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b09_entity_swap,hallucinated_b09_entity_swap,"In this case, the Bill of Rights contains ten amendments. These amendments protect a set of foundational civil liberties.","In this case, the Constitution contains ten amendments. These amendments protect a set of foundational civil liberties.",0.4095703065395355,b09,-0.04479048,-0.0821942,-0.013042579
b09_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b09_numeric_distortion,hallucinated_b09_numeric_distortion,The relevant fact is that the Bill of Rights contains ten amendments. These amendments protect a set of foundational civil liberties.,The relevant fact is that the Bill of Rights contains twelve amendments. These amendments protect a set of foundational civil liberties.,0.25818800926208496,b09,0.0543888,-0.0010271843,0.040989473
b09_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b09_role_inversion,hallucinated_b09_role_inversion,A concise response would be that the Bill of Rights contains ten amendments. These amendments protect a set of foundational civil liberties.,A concise response would be that ten amendments contain the Bill of Rights rather than the Bill of Rights containing ten amendments. These amendments protect a set of foundational civil liberties.,0.6189640164375305,b09,-0.056426644,-0.121144205,-0.14886408
b10_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b10_causal_substitution,hallucinated_b10_causal_substitution,A concise response would be that an antonym is a word with an opposite meaning. This concept is taught in basic vocabulary study.,A concise response would be that an antonym is a word with an opposite meaning because opposite words always rhyme. This concept is taught in basic vocabulary study.,0.3228704631328583,b10,0.037439767,-0.041630663,0.0369573
b10_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b10_definition_substitution,hallucinated_b10_definition_substitution,The short answer is: An antonym is a word with an opposite meaning. This concept is taught in basic vocabulary study.,The short answer is: An antonym is a sentence with an opposite meaning. This concept is taught in basic vocabulary study.,0.2738617956638336,b10,0.027120829,-0.015136978,-0.010470381
b10_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b10_entity_swap,hallucinated_b10_entity_swap,The relevant fact is that an antonym is a word with an opposite meaning. This concept is taught in basic vocabulary study.,The relevant fact is that a synonym is a word with an opposite meaning. This concept is taught in basic vocabulary study.,0.6787667274475098,b10,0.090079084,0.0055907154,0.056344192
b10_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b10_numeric_distortion,hallucinated_b10_numeric_distortion,An antonym is a word with an opposite meaning. This concept is taught in basic vocabulary study.,An antonym is a word with two opposite meanings at once. This concept is taught in basic vocabulary study.,0.2503452003002167,b10,0.038928606,0.0013321594,0.048567783
