pair_id,question,error_family,truthful_sample_id,hallucinated_sample_id,truthful_answer,hallucinated_answer,delta_norm,base_id,residual_umap_pc1,residual_umap_pc2
b01_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b01_causal_substitution,hallucinated_b01_causal_substitution,Claim: Mercury is the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,Claim: Mercury is the planet closest to the Sun because it has the brightest clouds. Supporting note: It has the shortest orbital period in the Solar System.,0.321269690990448,b01,8.120045,1.4626921
b01_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b01_definition_substitution,hallucinated_b01_definition_substitution,Claim: Mercury is the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,Claim: Mercury is the star closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,0.3232700228691101,b01,6.103987,0.9878788
b01_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b01_entity_swap,hallucinated_b01_entity_swap,Claim: Mercury is the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,Claim: Venus is the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,0.41634464263916016,b01,6.6628356,1.3572534
b01_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b01_numeric_distortion,hallucinated_b01_numeric_distortion,Claim: Mercury is the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,Claim: Mercury is the second planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,0.34541812539100647,b01,3.7209198,0.23961374
b01_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b01_role_inversion,hallucinated_b01_role_inversion,Claim: Mercury is the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,Claim: The Sun is the object closest to Mercury rather than Mercury being the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,0.4222683608531952,b01,5.501531,4.4002357
b02_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b02_causal_substitution,hallucinated_b02_causal_substitution,Claim: The heart is the organ that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,Claim: The heart is the organ that pumps blood through the human body because it stores oxygen like a reservoir. Supporting note: Its contractions drive circulation through the vascular system.,0.25160351395606995,b02,7.8153024,1.6853483
b02_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b02_definition_substitution,hallucinated_b02_definition_substitution,Claim: The heart is the organ that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,Claim: The heart is the gland that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,0.4938713014125824,b02,5.863452,1.3298663
b02_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b02_entity_swap,hallucinated_b02_entity_swap,Claim: The heart is the organ that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,Claim: The liver is the organ that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,0.45216426253318787,b02,6.0266085,1.4442594
b02_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b02_numeric_distortion,hallucinated_b02_numeric_distortion,Claim: The heart is the organ that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,Claim: The heart is the organ that pumps blood through the human body's three main chambers. Supporting note: Its contractions drive circulation through the vascular system.,0.42989295721054077,b02,4.78876,-0.58059937
b02_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b02_role_inversion,hallucinated_b02_role_inversion,Claim: The heart is the organ that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,Claim: Blood pumps the heart through the human body rather than the heart pumping blood through the body. Supporting note: Its contractions drive circulation through the vascular system.,0.5881960988044739,b02,5.972622,4.254374
b03_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b03_causal_substitution,hallucinated_b03_causal_substitution,Claim: Gold has the chemical symbol Au. Supporting note: The abbreviation comes from the Latin word aurum.,Claim: Gold has the chemical symbol Au because its atoms are heavier than silver. Supporting note: The abbreviation comes from the Latin word aurum.,0.4003487825393677,b03,8.069769,2.1100004
b03_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b03_definition_substitution,hallucinated_b03_definition_substitution,Claim: Gold has the chemical symbol Au. Supporting note: The abbreviation comes from the Latin word aurum.,Claim: Gold has the chemical formula Au. Supporting note: The abbreviation comes from the Latin word aurum.,0.31042352318763733,b03,6.7290373,0.77963233
b03_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b03_entity_swap,hallucinated_b03_entity_swap,Claim: Gold has the chemical symbol Au. Supporting note: The abbreviation comes from the Latin word aurum.,Claim: Gold has the chemical symbol Ag. Supporting note: The abbreviation comes from the Latin word aurum.,0.3162468671798706,b03,5.4352646,1.0132123
