trace_id,prompt_id,task_family,model,difficulty,outcome,trial_id,repeat_index,temperature,temperature_tag,from_step_position,to_step_position,from_step_text,to_step_text,static_projection_norm,residual_norm,residual_cluster,residual_pc_1,residual_pc_2,residual_pc_3,residual_pc_4,residual_pc_5,residual_pc_6,residual_pc_7,residual_pc_8,max_to_step_position,position_ratio,phase
trace_00001,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__temp_0p2__trial_01,1,0.2,0p2,0,1,Calculate total number of cans collected: 14 (Monday) + 19 (Tuesday) = 33,Subtract the number of damaged cans: 33 - 6 = 27,0.08143752,0.99667835,2,-0.60597724,0.21136038,-0.07344926,0.12794109,-0.06561766,0.26934737,-0.122358635,-0.16386145,2,0.5,middle
trace_00001,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__temp_0p2__trial_01,1,0.2,0p2,1,2,Subtract the number of damaged cans: 33 - 6 = 27,The remaining cans are usable.,0.2784758,0.9604433,4,0.3308447,-0.11251854,0.08949249,0.004281493,0.25620392,-0.15616135,-0.018855903,0.3559046,2,1.0,late
trace_00002,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__temp_0p2__trial_02,2,0.2,0p2,0,1,Calculate total number of cans collected: 14 (Monday) + 19 (Tuesday) = 33,Subtract the number of damaged cans: 33 - 6 = 27,0.08143752,0.99667835,2,-0.60597783,0.2113605,-0.07344749,0.12793913,-0.06561949,0.2693445,-0.122355185,-0.1638624,2,0.5,middle
trace_00002,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__temp_0p2__trial_02,2,0.2,0p2,1,2,Subtract the number of damaged cans: 33 - 6 = 27,The remaining cans are usable.,0.2784758,0.9604433,4,0.33084467,-0.11251544,0.089496605,0.004283438,0.2562052,-0.15615879,-0.018857418,0.35590494,2,1.0,late
trace_00003,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__temp_0p2__trial_03,3,0.2,0p2,0,1,Calculate total number of cans collected: 14 (Monday) + 19 (Tuesday) = 33,Subtract the number of damaged cans: 33 - 6 = 27,0.08143752,0.99667835,2,-0.6059777,0.21136059,-0.073449,0.12794133,-0.06561778,0.26934794,-0.1223574,-0.1638623,2,0.5,middle
trace_00003,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__temp_0p2__trial_03,3,0.2,0p2,1,2,Subtract the number of damaged cans: 33 - 6 = 27,The remaining cans are usable.,0.2784758,0.9604433,4,0.33084467,-0.112515315,0.08949663,0.0042826147,0.25620466,-0.15615888,-0.018858429,0.3559052,2,1.0,late
trace_00004,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__temp_0p2__trial_04,4,0.2,0p2,0,1,Calculate total number of cans collected: 14 (Monday) + 19 (Tuesday) = 33,Subtract the damaged cans from the total: 33 - 6 = 27,0.07963128,0.9968244,2,-0.59801877,0.15146129,-0.053889055,0.15948679,-0.04077515,0.27984107,-0.14564736,-0.13769005,2,0.5,middle
trace_00004,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__temp_0p2__trial_04,4,0.2,0p2,1,2,Subtract the damaged cans from the total: 33 - 6 = 27,The remaining cans are usable.,0.29452324,0.9556443,4,0.3490515,-0.060460113,0.07606012,-0.029283777,0.2480286,-0.18046245,0.0050425543,0.354399,2,1.0,late
trace_00005,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__temp_0p2__trial_05,5,0.2,0p2,0,1,Calculate total number of cans collected: 14 (Monday) + 19 (Tuesday) = 33,Subtract the number of damaged cans: 33 - 6 = 27,0.08143752,0.99667835,2,-0.6059778,0.21136044,-0.07344934,0.12794115,-0.065617755,0.26934648,-0.12235868,-0.16385897,2,0.5,middle
trace_00005,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__temp_0p2__trial_05,5,0.2,0p2,1,2,Subtract the number of damaged cans: 33 - 6 = 27,The remaining cans are usable.,0.2784758,0.9604433,4,0.33084467,-0.112515464,0.089496486,0.004282462,0.25620428,-0.15615918,-0.018857995,0.35590503,2,1.0,late
trace_00006,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__temp_0p5__trial_01,1,0.5,0p5,0,1,Calculate the total number of cans collected: 14 (Monday) + 19 (Tuesday) = 33,Subtract the damaged cans from the total: 33 - 6 = 27,0.071908206,0.99741125,2,-0.60083866,0.16030328,-0.044135515,0.16480573,-0.041780464,0.27669877,-0.14529307,-0.1353411,2,0.5,middle
trace_00006,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__temp_0p5__trial_01,1,0.5,0p5,1,2,Subtract the damaged cans from the total: 33 - 6 = 27,The remaining cans are usable.,0.29452324,0.9556443,4,0.3490515,-0.06046015,0.07606017,-0.029284008,0.24802868,-0.18046291,0.0050418777,0.354399,2,1.0,late
trace_00007,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__temp_0p5__trial_02,2,0.5,0p5,0,1,Calculate total number of cans collected: 14 (Monday) + 19 (Tuesday) = 33,Subtract the number of damaged cans: 33 - 6 = 27,0.08143752,0.99667835,2,-0.6059778,0.21136054,-0.07344909,0.12794115,-0.06561772,0.2693473,-0.122358225,-0.16386172,2,0.5,middle
trace_00007,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__temp_0p5__trial_02,2,0.5,0p5,1,2,Subtract the number of damaged cans: 33 - 6 = 27,The remaining cans are usable.,0.2784758,0.9604433,4,0.33084467,-0.112515435,0.08949651,0.0042825053,0.2562043,-0.15615903,-0.01885787,0.35590452,2,1.0,late
trace_00008,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__temp_0p5__trial_03,3,0.5,0p5,0,1,Calculate total number of cans collected: 14 (Monday) + 19 (Tuesday) = 33,Subtract the damaged cans from the total: 33 - 6 = 27,0.07963128,0.9968244,2,-0.59801877,0.15146136,-0.053889018,0.15948695,-0.040775087,0.2798414,-0.14564721,-0.1376901,2,0.5,middle
trace_00008,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__temp_0p5__trial_03,3,0.5,0p5,1,2,Subtract the damaged cans from the total: 33 - 6 = 27,The remaining cans are usable.,0.29452324,0.9556443,4,0.3490515,-0.06046008,0.0760602,-0.029283883,0.24802862,-0.1804623,0.0050422926,0.35439807,2,1.0,late
