pair_id,question,error_family,truthful_sample_id,hallucinated_sample_id,truthful_answer,hallucinated_answer,delta_norm,base_id,residual_umap_pc1,residual_umap_pc2
b01_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b01_causal_substitution,hallucinated_b01_causal_substitution,"In this case, mercury is the planet closest to the Sun. It has the shortest orbital period in the Solar System.","In this case, mercury is the planet closest to the Sun because it has the brightest clouds. It has the shortest orbital period in the Solar System.",0.4367680847644806,b01,11.721447,5.648234
b01_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b01_definition_substitution,hallucinated_b01_definition_substitution,A concise response would be that mercury is the planet closest to the Sun. It has the shortest orbital period in the Solar System.,A concise response would be that mercury is the star closest to the Sun. It has the shortest orbital period in the Solar System.,0.272483766078949,b01,9.434821,6.8495584
b01_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b01_entity_swap,hallucinated_b01_entity_swap,Mercury is the planet closest to the Sun. It has the shortest orbital period in the Solar System.,Venus is the planet closest to the Sun. It has the shortest orbital period in the Solar System.,0.6653795838356018,b01,10.643551,7.271352
b01_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b01_numeric_distortion,hallucinated_b01_numeric_distortion,The short answer is: Mercury is the planet closest to the Sun. It has the shortest orbital period in the Solar System.,The short answer is: Mercury is the second planet closest to the Sun. It has the shortest orbital period in the Solar System.,0.1962934136390686,b01,8.703515,7.88986
b01_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b01_role_inversion,hallucinated_b01_role_inversion,The relevant fact is that mercury is the planet closest to the Sun. It has the shortest orbital period in the Solar System.,The relevant fact is that the Sun is the object closest to Mercury rather than Mercury being the planet closest to the Sun. It has the shortest orbital period in the Solar System.,0.2507108747959137,b01,10.225785,4.648025
b02_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b02_causal_substitution,hallucinated_b02_causal_substitution,The relevant fact is that the heart is the organ that pumps blood through the human body. Its contractions drive circulation through the vascular system.,The relevant fact is that the heart is the organ that pumps blood through the human body because it stores oxygen like a reservoir. Its contractions drive circulation through the vascular system.,0.25112250447273254,b02,10.729205,6.510761
b02_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b02_definition_substitution,hallucinated_b02_definition_substitution,"In this case, the heart is the organ that pumps blood through the human body. Its contractions drive circulation through the vascular system.","In this case, the heart is the gland that pumps blood through the human body. Its contractions drive circulation through the vascular system.",0.24104857444763184,b02,9.787272,6.3201203
b02_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b02_entity_swap,hallucinated_b02_entity_swap,The short answer is: The heart is the organ that pumps blood through the human body. Its contractions drive circulation through the vascular system.,The short answer is: The liver is the organ that pumps blood through the human body. Its contractions drive circulation through the vascular system.,0.6170546412467957,b02,9.143497,7.0899377
b02_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b02_numeric_distortion,hallucinated_b02_numeric_distortion,A concise response would be that the heart is the organ that pumps blood through the human body. Its contractions drive circulation through the vascular system.,A concise response would be that the heart is the organ that pumps blood through the human body's three main chambers. Its contractions drive circulation through the vascular system.,0.348931223154068,b02,9.1648035,6.506019
b02_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b02_role_inversion,hallucinated_b02_role_inversion,The heart is the organ that pumps blood through the human body. Its contractions drive circulation through the vascular system.,Blood pumps the heart through the human body rather than the heart pumping blood through the body. Its contractions drive circulation through the vascular system.,0.5706138014793396,b02,11.035081,4.4837317
b03_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b03_causal_substitution,hallucinated_b03_causal_substitution,Gold has the chemical symbol Au. The abbreviation comes from the Latin word aurum.,Gold has the chemical symbol Au because its atoms are heavier than silver. The abbreviation comes from the Latin word aurum.,0.32590630650520325,b03,11.957683,5.7638865
b03_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b03_definition_substitution,hallucinated_b03_definition_substitution,The relevant fact is that gold has the chemical symbol Au. The abbreviation comes from the Latin word aurum.,The relevant fact is that gold has the chemical formula Au. The abbreviation comes from the Latin word aurum.,0.16634944081306458,b03,10.108382,7.078833
b03_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b03_entity_swap,hallucinated_b03_entity_swap,A concise response would be that gold has the chemical symbol Au. The abbreviation comes from the Latin word aurum.,A concise response would be that gold has the chemical symbol Ag. The abbreviation comes from the Latin word aurum.,0.23089714348316193,b03,8.889317,6.762853
b03_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b03_numeric_distortion,hallucinated_b03_numeric_distortion,"In this case, gold has the chemical symbol Au. The abbreviation comes from the Latin word aurum.","In this case, gold has the chemical symbol Au2. The abbreviation comes from the Latin word aurum.",0.20023629069328308,b03,8.944395,7.476236
b03_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b03_role_inversion,hallucinated_b03_role_inversion,The short answer is: Gold has the chemical symbol Au. The abbreviation comes from the Latin word aurum.,The short answer is: Au has the chemical symbol gold rather than gold having the chemical symbol Au. The abbreviation comes from the Latin word aurum.,0.4180067479610443,b03,10.854373,4.4407616
