pair_id,question,error_family,truthful_sample_id,hallucinated_sample_id,truthful_answer,hallucinated_answer,delta_norm,base_id,residual_pc1,residual_pc2,residual_pc3
b01_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b01_causal_substitution,hallucinated_b01_causal_substitution,Claim: Mercury is the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,Claim: Mercury is the planet closest to the Sun because it has the brightest clouds. Supporting note: It has the shortest orbital period in the Solar System.,0.321269690990448,b01,-0.050901905,0.06281694,-0.061488062
b01_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b01_definition_substitution,hallucinated_b01_definition_substitution,Claim: Mercury is the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,Claim: Mercury is the star closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,0.3232700228691101,b01,-0.034614343,-0.013724741,0.0035325103
b01_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b01_entity_swap,hallucinated_b01_entity_swap,Claim: Mercury is the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,Claim: Venus is the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,0.41634464263916016,b01,-0.031350803,-0.03655494,-0.033394314
b01_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b01_numeric_distortion,hallucinated_b01_numeric_distortion,Claim: Mercury is the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,Claim: Mercury is the second planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,0.34541812539100647,b01,-0.07487281,-0.013872837,0.08599023
b01_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b01_role_inversion,hallucinated_b01_role_inversion,Claim: Mercury is the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,Claim: The Sun is the object closest to Mercury rather than Mercury being the planet closest to the Sun. Supporting note: It has the shortest orbital period in the Solar System.,0.4222683608531952,b01,0.19173975,0.0013355976,0.0053596688
b02_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b02_causal_substitution,hallucinated_b02_causal_substitution,Claim: The heart is the organ that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,Claim: The heart is the organ that pumps blood through the human body because it stores oxygen like a reservoir. Supporting note: Its contractions drive circulation through the vascular system.,0.25160351395606995,b02,-0.052275196,0.079051904,-0.06930712
b02_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b02_definition_substitution,hallucinated_b02_definition_substitution,Claim: The heart is the organ that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,Claim: The heart is the gland that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,0.4938713014125824,b02,-0.043568637,-0.037964877,0.007983582
b02_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b02_entity_swap,hallucinated_b02_entity_swap,Claim: The heart is the organ that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,Claim: The liver is the organ that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,0.45216426253318787,b02,-0.08118701,-0.090599924,-0.042696282
b02_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b02_numeric_distortion,hallucinated_b02_numeric_distortion,Claim: The heart is the organ that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,Claim: The heart is the organ that pumps blood through the human body's three main chambers. Supporting note: Its contractions drive circulation through the vascular system.,0.42989295721054077,b02,-0.100927316,0.00023257219,0.098437406
b02_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b02_role_inversion,hallucinated_b02_role_inversion,Claim: The heart is the organ that pumps blood through the human body. Supporting note: Its contractions drive circulation through the vascular system.,Claim: Blood pumps the heart through the human body rather than the heart pumping blood through the body. Supporting note: Its contractions drive circulation through the vascular system.,0.5881960988044739,b02,0.277958,0.049280427,0.005582359
